OpenTime;Type;Volume;Symbol;OpenPrice;S/L;T/P;CloseTime;ClosePrice;Commission;Swap;Profit;Comment
2020.09.16 11:25:03;Buy Stop;0.01;EURNZD.;1.76035;;;2020.09.16 13:51:47;1.75879;;;;cancelled
2020.09.16 13:41:36;Sell;0.01;EURUSD.;1.18586;;;2020.09.16 13:51:46;1.18530;;;0.56;
2020.09.15 18:19:59;Sell;0.01;EURAUD.;1.62184;;;2020.09.16 02:37:35;1.62096;;;0.64;
2020.09.15 16:25:02;Buy Stop;0.01;EURUSD.;1.18528;;;2020.09.16 02:37:35;1.18400;;;;cancelled
2020.09.15 07:47:31;Sell;0.01;EURUSD.;1.18848;;;2020.09.15 14:02:07;1.18771;;;0.77;
2020.09.15 05:25:02;Buy Stop;0.01;EURNZD.;1.76957;;;2020.09.15 14:02:07;1.76547;;;;cancelled
2020.09.14 10:52:37;Balance;;;;;;;;;;-50.00;Withdrawal
2020.09.11 19:36:20;Sell;0.01;EURNZD.;1.77780;;;2020.09.14 00:10:32;1.77531;;;1.66;
2020.09.11 18:25:07;Buy;0.01;EURGBP.;0.92545;;;2020.09.14 00:10:32;0.92463;;;-1.05;
2020.09.11 08:31:33;Sell;0.01;EURJPY.;125.708;;;2020.09.11 16:46:38;125.648;;;0.56;
2020.09.11 09:58:01;Buy;0.01;EURNZD.;1.77565;;;2020.09.11 16:46:38;1.77555;;;-0.07;
2020.09.07 02:19:48;Sell;0.01;EURJPY.;125.830;;;2020.09.07 03:16:21;125.711;;;1.12;
2020.09.07 00:18:22;Sell;0.01;EURJPY.;125.805;;;2020.09.07 03:16:21;125.710;;;0.89;
2020.09.06 22:07:18;Sell;0.01;EURUSD.;1.18450;;;2020.09.06 23:11:35;1.18391;;;0.59;
2020.09.06 22:07:18;Buy;0.01;EURAUD.;1.62623;;;2020.09.06 23:11:35;1.62618;;;-0.04;
2020.09.04 16:40:31;Sell;0.01;EURAUD.;1.62753;;;2020.09.04 18:03:26;1.62552;;;1.46;
2020.09.04 16:40:31;Buy;0.01;EURUSD.;1.18100;;;2020.09.04 18:03:26;1.18333;;;2.33;
2020.09.03 12:20:56;Sell Stop;0.01;EURNZD.;1.75257;;;2020.09.03 15:51:51;1.75884;;;;cancelled
2020.09.03 13:10:30;Buy;0.01;EURUSD.;1.18174;;;2020.09.03 15:51:51;1.18398;;;2.24;
2020.08.28 13:53:00;Buy;0.01;EURUSD.;1.18839;;;2020.08.28 15:29:46;1.18935;;;0.96;
2020.08.27 20:57:03;Buy;0.01;AUDUSD.;0.72570;;;2020.08.28 00:35:42;0.72651;;;0.81;
2020.08.26 14:06:53;Sell;0.01;EURNZD.;1.79773;;;2020.08.26 14:25:33;1.79842;;;-0.45;
2020.08.26 13:57:32;Buy;0.01;EURUSD.;1.17864;;;2020.08.26 14:25:33;1.17965;;;1.01;
2020.08.26 12:24:17;Sell;0.01;EURNZD.;1.79868;;;2020.08.26 13:25:00;1.79761;;;0.70;
2020.08.26 12:21:17;Buy Stop;0.01;EURCHF.;1.07459;;;2020.08.26 13:25:00;1.07416;;;;cancelled
2020.08.26 03:55:05;Buy;0.01;AUDUSD.;0.71930;;;2020.08.26 09:20:47;0.72035;;;1.05;
2020.08.25 00:49:03;Sell;0.01;AUDUSD.;0.71670;;;2020.08.25 09:29:34;0.71621;;;0.49;
2020.08.21 09:25:28;Sell;0.01;AUDUSD.;0.71809;;;2020.08.21 09:38:36;0.71766;;;0.43;
2020.08.20 20:41:07;Buy;0.01;NZDUSD.;0.65337;;;2020.08.21 01:09:14;0.65401;;;0.64;
